country_sk,data
4040,"{""gdp"": 94997, ""region"": ""Eastern Europe"", ""continent"": ""Europe"", ""population"": 5447662, ""country_name"": ""Slovakia""}"
4041,"{""gdp"": 392052, ""region"": ""Northern Europe"", ""continent"": ""Europe"", ""population"": 5305383, ""country_name"": ""Norway""}"
4042,"{""gdp"": null, ""region"": ""Middle Africa"", ""continent"": ""Africa"", ""population"": 5260750, ""country_name"": ""Congo""}"
4043,"{""gdp"": 6050, ""region"": ""Eastern Africa"", ""continent"": ""Africa"", ""population"": 5068831, ""country_name"": ""Eritrea""}"
4044,"{""gdp"": null, ""region"": ""Western Asia"", ""continent"": ""Asia"", ""population"": 4920724, ""country_name"": ""Palestine""}"
4045,"{""gdp"": 58909, ""region"": ""Central America"", ""continent"": ""Americas"", ""population"": 4905769, ""country_name"": ""Costa Rica""}"
4046,"{""gdp"": 325649, ""region"": ""Northern Europe"", ""continent"": ""Europe"", ""population"": 4761657, ""country_name"": ""Ireland""}"
4047,"{""gdp"": 2140, ""region"": ""Western Africa"", ""continent"": ""Africa"", ""population"": 4731906, ""country_name"": ""Liberia""}"
4048,"{""gdp"": 200837, ""region"": ""Australia�and�New Zealand"", ""continent"": ""Oceania"", ""population"": 4705818, ""country_name"": ""New Zealand""}"
4049,"{""gdp"": 1992, ""region"": ""Middle Africa"", ""continent"": ""Africa"", ""population"": 4659080, ""country_name"": ""Central African Republic""}"
4050,"{""gdp"": 71931, ""region"": ""Western Asia"", ""continent"": ""Asia"", ""population"": 4636262, ""country_name"": ""Oman""}"
4051,"{""gdp"": 4985, ""region"": ""Western Africa"", ""continent"": ""Africa"", ""population"": 4420184, ""country_name"": ""Mauritania""}"
4052,"{""gdp"": 53481, ""region"": ""Southern Europe"", ""continent"": ""Europe"", ""population"": 4189353, ""country_name"": ""Croatia""}"
4053,"{""gdp"": 118271, ""region"": ""Western Asia"", ""continent"": ""Asia"", ""population"": 4136528, ""country_name"": ""Kuwait""}"
4054,"{""gdp"": 59051, ""region"": ""Central America"", ""continent"": ""Americas"", ""population"": 4098587, ""country_name"": ""Panama""}"
4055,"{""gdp"": 7945, ""region"": ""Eastern Europe"", ""continent"": ""Europe"", ""population"": 4051212, ""country_name"": ""Moldova""}"
4056,"{""gdp"": 15230, ""region"": ""Western Asia"", ""continent"": ""Asia"", ""population"": 3912061, ""country_name"": ""Georgia""}"
4057,"{""gdp"": 103243, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 3663131, ""country_name"": ""Puerto Rico""}"
4058,"{""gdp"": 17457, ""region"": ""Southern Europe"", ""continent"": ""Europe"", ""population"": 3507017, ""country_name"": ""Bosnia and Herzegovina""}"
4059,"{""gdp"": 60266, ""region"": ""South America"", ""continent"": ""Americas"", ""population"": 3456750, ""country_name"": ""Uruguay""}"
4060,"{""gdp"": 10869, ""region"": ""Eastern Asia"", ""continent"": ""Asia"", ""population"": 3075647, ""country_name"": ""Mongolia""}"
4061,"{""gdp"": 11037, ""region"": ""Western Asia"", ""continent"": ""Asia"", ""population"": 2930450, ""country_name"": ""Armenia""}"
4062,"{""gdp"": 13001, ""region"": ""Southern Europe"", ""continent"": ""Europe"", ""population"": 2930187, ""country_name"": ""Albania""}"
4063,"{""gdp"": 14290, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 2890299, ""country_name"": ""Jamaica""}"
4064,"{""gdp"": 46666, ""region"": ""Northern Europe"", ""continent"": ""Europe"", ""population"": 2890297, ""country_name"": ""Lithuania""}"
4065,"{""gdp"": 166346, ""region"": ""Western Asia"", ""continent"": ""Asia"", ""population"": 2639211, ""country_name"": ""Qatar""}"
4066,"{""gdp"": 12558, ""region"": ""Southern Africa"", ""continent"": ""Africa"", ""population"": 2533794, ""country_name"": ""Namibia""}"
4067,"{""gdp"": 16725, ""region"": ""Southern Africa"", ""continent"": ""Africa"", ""population"": 2291661, ""country_name"": ""Botswana""}"
4068,"{""gdp"": 2721, ""region"": ""Southern Africa"", ""continent"": ""Africa"", ""population"": 2233339, ""country_name"": ""Lesotho""}"
4069,"{""gdp"": 1038, ""region"": ""Western Africa"", ""continent"": ""Africa"", ""population"": 2100568, ""country_name"": ""The Gambia""}"
4070,"{""gdp"": 11416, ""region"": ""Southern Europe"", ""continent"": ""Europe"", ""population"": 2083160, ""country_name"": ""Republic of Macedonia""}"
4071,"{""gdp"": 48078, ""region"": ""Southern Europe"", ""continent"": ""Europe"", ""population"": 2079976, ""country_name"": ""Slovenia""}"
4072,"{""gdp"": 14467, ""region"": ""Middle Africa"", ""continent"": ""Africa"", ""population"": 2025137, ""country_name"": ""Gabon""}"
4073,"{""gdp"": 30176, ""region"": ""Northern Europe"", ""continent"": ""Europe"", ""population"": 1949670, ""country_name"": ""Latvia""}"
4074,"{""gdp"": 1295, ""region"": ""Western Africa"", ""continent"": ""Africa"", ""population"": 1861283, ""country_name"": ""Guinea-Bissau""}"
4075,"{""gdp"": 33873, ""region"": ""Western Asia"", ""continent"": ""Asia"", ""population"": 1492584, ""country_name"": ""Bahrain""}"
4076,"{""gdp"": 20300, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 1369125, ""country_name"": ""Trinidad and Tobago""}"
4077,"{""gdp"": 4030, ""region"": ""Southern Africa"", ""continent"": ""Africa"", ""population"": 1367254, ""country_name"": ""Swaziland""}"
4078,"{""gdp"": 25683, ""region"": ""Northern Europe"", ""continent"": ""Europe"", ""population"": 1309632, ""country_name"": ""Estonia""}"
4079,"{""gdp"": 2716, ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""population"": 1296311, ""country_name"": ""East Timor""}"
4080,"{""gdp"": 10069, ""region"": ""Middle Africa"", ""continent"": ""Africa"", ""population"": 1267689, ""country_name"": ""Equatorial Guinea""}"
4081,"{""gdp"": 12273, ""region"": ""Eastern Africa"", ""continent"": ""Africa"", ""population"": 1265138, ""country_name"": ""Mauritius""}"
4082,"{""gdp"": 21109, ""region"": ""Western Asia"", ""continent"": ""Asia"", ""population"": 1179551, ""country_name"": ""Cyprus""}"
4083,"{""gdp"": 2082, ""region"": ""Eastern Africa"", ""continent"": ""Africa"", ""population"": 956985, ""country_name"": ""Djibouti""}"
4084,"{""gdp"": 5054, ""region"": ""Melanesia"", ""continent"": ""Oceania"", ""population"": 905502, ""country_name"": ""Fiji""}"
4085,"{""gdp"": null, ""region"": ""Eastern Africa"", ""continent"": ""Africa"", ""population"": 876562, ""country_name"": ""R�union""}"
4086,"{""gdp"": 659, ""region"": ""Eastern Africa"", ""continent"": ""Africa"", ""population"": 813912, ""country_name"": ""Comoros""}"
4087,"{""gdp"": 2321, ""region"": ""Southern Asia"", ""continent"": ""Asia"", ""population"": 807610, ""country_name"": ""Bhutan""}"
4088,"{""gdp"": 3591, ""region"": ""South America"", ""continent"": ""Americas"", ""population"": 777859, ""country_name"": ""Guyana""}"
4089,"{""gdp"": 4405, ""region"": ""Southern Europe"", ""continent"": ""Europe"", ""population"": 628960, ""country_name"": ""Montenegro""}"
4090,"{""gdp"": 51160, ""region"": ""Eastern Asia"", ""continent"": ""Asia"", ""population"": 622567, ""country_name"": ""Macau""}"
4091,"{""gdp"": 1273, ""region"": ""Melanesia"", ""continent"": ""Oceania"", ""population"": 611343, ""country_name"": ""Solomon Islands""}"
4092,"{""gdp"": 63517, ""region"": ""Western Europe"", ""continent"": ""Europe"", ""population"": 583455, ""country_name"": ""Luxembourg""}"
4093,"{""gdp"": 3665, ""region"": ""South America"", ""continent"": ""Americas"", ""population"": 563402, ""country_name"": ""Suriname""}"
4094,"{""gdp"": null, ""region"": ""Northern Africa"", ""continent"": ""Africa"", ""population"": 552628, ""country_name"": ""Western Sahara""}"
4095,"{""gdp"": 1728, ""region"": ""Western Africa"", ""continent"": ""Africa"", ""population"": 546388, ""country_name"": ""Cape Verde""}"
4096,"{""gdp"": null, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 449568, ""country_name"": ""Guadeloupe""}"
4097,"{""gdp"": 4520, ""region"": ""Southern Asia"", ""continent"": ""Asia"", ""population"": 436330, ""country_name"": ""Maldives""}"
4098,"{""gdp"": 12011, ""region"": ""Southern Europe"", ""continent"": ""Europe"", ""population"": 430835, ""country_name"": ""Malta""}"
4099,"{""gdp"": 11963, ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""population"": 428697, ""country_name"": ""Brunei""}"
4100,"{""gdp"": 9127, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 395361, ""country_name"": ""Bahamas""}"
4101,"{""gdp"": null, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 384896, ""country_name"": ""Martinique""}"
4102,"{""gdp"": 1819, ""region"": ""Central America"", ""continent"": ""Americas"", ""population"": 374681, ""country_name"": ""Belize""}"
4103,"{""gdp"": 24848, ""region"": ""Northern Europe"", ""continent"": ""Europe"", ""population"": 335025, ""country_name"": ""Iceland""}"
4104,"{""gdp"": 4821, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 285719, ""country_name"": ""Barbados""}"
4105,"{""gdp"": null, ""region"": ""Polynesia"", ""continent"": ""Oceania"", ""population"": 283007, ""country_name"": ""French Polynesia""}"
4106,"{""gdp"": null, ""region"": ""South America"", ""continent"": ""Americas"", ""population"": 282731, ""country_name"": ""French Guiana""}"
4107,"{""gdp"": null, ""region"": ""Melanesia"", ""continent"": ""Oceania"", ""population"": 276255, ""country_name"": ""New Caledonia""}"
4108,"{""gdp"": 837, ""region"": ""Melanesia"", ""continent"": ""Oceania"", ""population"": 276244, ""country_name"": ""Vanuatu""}"
4109,"{""gdp"": null, ""region"": ""Eastern Africa"", ""continent"": ""Africa"", ""population"": 253045, ""country_name"": ""Mayotte""}"
4110,"{""gdp"": 372, ""region"": ""Middle Africa"", ""continent"": ""Africa"", ""population"": 204327, ""country_name"": ""Sao Tome and Principe""}"
4111,"{""gdp"": 844, ""region"": ""Polynesia"", ""continent"": ""Oceania"", ""population"": 196440, ""country_name"": ""Samoa""}"
4112,"{""gdp"": 1717, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 178844, ""country_name"": ""Saint Lucia""}"
4113,"{""gdp"": null, ""region"": ""Northern Europe"", ""continent"": ""Europe"", ""population"": 165314, ""country_name"": ""Guernsey�and��Jersey""}"
4114,"{""gdp"": null, ""region"": ""Micronesia"", ""continent"": ""Oceania"", ""population"": 164229, ""country_name"": ""Guam""}"
4115,"{""gdp"": null, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 160539, ""country_name"": ""Cura�ao""}"
4116,"{""gdp"": 186, ""region"": ""Micronesia"", ""continent"": ""Oceania"", ""population"": 116398, ""country_name"": ""Kiribati""}"
4117,"{""gdp"": 815, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 109897, ""country_name"": ""Saint Vincent and the Grenadines""}"
4118,"{""gdp"": 437, ""region"": ""Polynesia"", ""continent"": ""Oceania"", ""population"": 108020, ""country_name"": ""Tonga""}"
4119,"{""gdp"": 1111, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 107825, ""country_name"": ""Grenada""}"
4120,"{""gdp"": 329, ""region"": ""Micronesia"", ""continent"": ""Oceania"", ""population"": 105544, ""country_name"": ""Federated States of Micronesia""}"
4121,"{""gdp"": null, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 105264, ""country_name"": ""Aruba""}"
4122,"{""gdp"": null, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 104901, ""country_name"": ""United States Virgin Islands""}"
4123,"{""gdp"": 1535, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 102012, ""country_name"": ""Antigua and Barbuda""}"
4124,"{""gdp"": 1479, ""region"": ""Eastern Africa"", ""continent"": ""Africa"", ""population"": 94737, ""country_name"": ""Seychelles""}"
4125,"{""gdp"": null, ""region"": ""Northern Europe"", ""continent"": ""Europe"", ""population"": 84287, ""country_name"": ""Isle of Man""}"
4126,"{""gdp"": null, ""region"": ""Southern Europe"", ""continent"": ""Europe"", ""population"": 76965, ""country_name"": ""Andorra""}"
4127,"{""gdp"": 608, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 73925, ""country_name"": ""Dominica""}"
4128,"{""gdp"": null, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 61559, ""country_name"": ""Cayman Islands""}"
4129,"{""gdp"": null, ""region"": ""Northern America"", ""continent"": ""Americas"", ""population"": 61349, ""country_name"": ""Bermuda""}"
4130,"{""gdp"": null, ""region"": ""Northern America"", ""continent"": ""Americas"", ""population"": 56480, ""country_name"": ""Greenland""}"
4131,"{""gdp"": null, ""region"": ""Polynesia"", ""continent"": ""Oceania"", ""population"": 55641, ""country_name"": ""American Samoa""}"
4132,"{""gdp"": 939, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 55345, ""country_name"": ""Saint Kitts and Nevis""}"
4133,"{""gdp"": null, ""region"": ""Micronesia"", ""continent"": ""Oceania"", ""population"": 55144, ""country_name"": ""Northern Mariana Islands""}"
4134,"{""gdp"": 199, ""region"": ""Micronesia"", ""continent"": ""Oceania"", ""population"": 53127, ""country_name"": ""Marshall Islands""}"
4135,"{""gdp"": null, ""region"": ""Northern Europe"", ""continent"": ""Europe"", ""population"": 49290, ""country_name"": ""Faroe Islands""}"
4136,"{""gdp"": null, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 40120, ""country_name"": ""Sint Maarten""}"
4137,"{""gdp"": null, ""region"": ""Western Europe"", ""continent"": ""Europe"", ""population"": 38695, ""country_name"": ""Monaco""}"
4138,"{""gdp"": null, ""region"": ""Western Europe"", ""continent"": ""Europe"", ""population"": 37922, ""country_name"": ""Liechtenstein""}"
4139,"{""gdp"": null, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 35446, ""country_name"": ""Turks and Caicos Islands""}"
4140,"{""gdp"": null, ""region"": ""Southern Europe"", ""continent"": ""Europe"", ""population"": 34571, ""country_name"": ""Gibraltar""}"
4141,"{""gdp"": 1592, ""region"": ""Southern Europe"", ""continent"": ""Europe"", ""population"": 33400, ""country_name"": ""San Marino""}"
4142,"{""gdp"": null, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 31196, ""country_name"": ""British Virgin Islands""}"
4143,"{""gdp"": null, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 25398, ""country_name"": ""Caribbean Netherlands""}"
4144,"{""gdp"": 321, ""region"": ""Micronesia"", ""continent"": ""Oceania"", ""population"": 21729, ""country_name"": ""Palau""}"
4145,"{""gdp"": null, ""region"": ""Polynesia"", ""continent"": ""Oceania"", ""population"": 17380, ""country_name"": ""Cook Islands""}"
4146,"{""gdp"": null, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 14909, ""country_name"": ""Anguilla""}"
4147,"{""gdp"": null, ""region"": ""Polynesia"", ""continent"": ""Oceania"", ""population"": 11773, ""country_name"": ""Wallis and Futuna""}"
4148,"{""gdp"": null, ""region"": ""Micronesia"", ""continent"": ""Oceania"", ""population"": 11359, ""country_name"": ""Nauru""}"
4149,"{""gdp"": 40, ""region"": ""Polynesia"", ""continent"": ""Oceania"", ""population"": 11192, ""country_name"": ""Tuvalu""}"
4150,"{""gdp"": null, ""region"": ""Northern America"", ""continent"": ""Americas"", ""population"": 6320, ""country_name"": ""Saint Pierre and Miquelon""}"
4151,"{""gdp"": null, ""region"": ""Caribbean"", ""continent"": ""Americas"", ""population"": 5177, ""country_name"": ""Montserrat""}"
4152,"{""gdp"": null, ""region"": ""Western Africa"", ""continent"": ""Africa"", ""population"": 4049, ""country_name"": ""Saint Helena Ascension and Tristan da Cunha""}"
4153,"{""gdp"": null, ""region"": ""South America"", ""continent"": ""Americas"", ""population"": 2910, ""country_name"": ""Falkland Islands""}"
4154,"{""gdp"": null, ""region"": ""Polynesia"", ""continent"": ""Oceania"", ""population"": 1618, ""country_name"": ""Niue""}"
4155,"{""gdp"": null, ""region"": ""Polynesia"", ""continent"": ""Oceania"", ""population"": 1300, ""country_name"": ""Tokelau""}"
4156,"{""gdp"": null, ""region"": ""Southern Europe"", ""continent"": ""Europe"", ""population"": 792, ""country_name"": ""Vatican City""}"
4157,"{""gdp"": 7536, ""region"": ""Southern Europe"", ""continent"": ""Europe"", ""population"": 1812000, ""country_name"": ""Kosovo""}"
